FP006044 pcdh20_1
FP005281 kbtbd2_1
FP007575 gatm_1
FP000382 cdadc1_1
FP006856 si:dkey-79d12.5_1
FP006166 hprt1_1
FP006501 mettl16_1
FP004205 rif1_1
FP001537 hbae3_1
FP003716 acot11b_1
FP001648 ssbp1_1
FP006851 zgc:174637_1
FP002163 tcn2l_2
FP000434 etaa1_1
FP010463 mpped2_1
FP006250 zgc:194285_1
FP009258 si:ch211-263m18.4_1
FP003329 fto_1
FP007038 pycard_1
FP010534 tnni1al_1
FP000019 mrpl16_1
FP002974 ngf_1
FP002894 myl6_1
FP004621 pbdc1_1
FP003524 sod3a_1
FP010104 mppe1_1
FP006936 zgc:77086_1
FP003708 pola2_1
FP008843 prpf39_1
FP003601 cdc45_1
FP002990 mych_1
FP004695 ift46_1
FP009690 xkr7_1
FP003800 NGRN_1
FP009394 tbc1d20_1
FP002573 orc4_1
FP002805 nme7_1
FP003039 shmt2_1
FP000486 pane1_1
FP005506 dpysl4_1
FP003623 tfe3a_1
FP008022 setdb1a_1
FP009697 osbpl2b_2
FP001111 nme4_1
FP004040 dbi_1
FP009298 med20_1
FP003816 tmem115_1
FP006680 elovl4a_1
FP001486 prkcsh_2
FP006005 dnajc4_1
FP005802 rrp12_1
FP007238 gch1_1
FP001059 ndufa6_1
FP001252 pigq_1
